AnalyzerId,EpochTime,Shape,SurveyId
00000015-db64-fde7-7e67-39c8ac533d49,1450210603,0xE6100000010405000000D958F647F47E5EC020E14945C2B24240EC02E947F47E5EC0B68E9645C2B2424049277146F47E5EC0E2E5E04EC2B24240107F0748F47E5EC0AE5A5F45C2B24240D958F647F47E5EC020E14945C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
00000015-db64-fde7-7e67-39c8ac533d49,1450210604,0xE6100000010405000000093C0048F47E5EC099414045C2B2424030D1F247F47E5EC0E5249245C2B2424049277146F47E5EC0E2E5E04EC2B24240107F0748F47E5EC0AE5A5F45C2B24240093C0048F47E5EC099414045C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
00000015-db64-fde7-7e67-39c8ac533d49,1450210605,0xE6100000010405000000476CFB47F47E5EC002EE1E45C2B24240476CFB47F47E5EC002EE1E45C2B2424030D1F247F47E5EC0E5249245C2B24240093C0048F47E5EC099414045C2B24240476CFB47F47E5EC002EE1E45C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
00000015-db64-fde7-7e67-39c8ac533d49,1450210624,0xE6100000010405000000BC6D8847F47E5EC067E88643C2B2424082AA1648F47E5EC0667A524DC2B24240985C5A47F47E5EC083DBB143C2B24240985C5A47F47E5EC083DBB143C2B24240BC6D8847F47E5EC067E88643C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
00000015-db64-fde7-7e67-39c8ac533d49,1450210625,0xE6100000010405000000BC6D8847F47E5EC067E88643C2B2424082AA1648F47E5EC0667A524DC2B242409465194DF47E5EC0E9848A80C2B242402F37DD4AF47E5EC068343A44C2B24240BC6D8847F47E5EC067E88643C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
00000015-db64-fde7-7e67-39c8ac533d49,1450210626,0xE61000000104050000002F37DD4AF47E5EC068343A44C2B242409465194DF47E5EC0E9848A80C2B24240C3CB5758F47E5EC067F13EF8C2B24240BA822E52F47E5EC01A9B8844C2B242402F37DD4AF47E5EC068343A44C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
00000015-db64-fde7-7e67-39c8ac533d49,1450210627,0xE6100000010405000000BA822E52F47E5EC01A9B8844C2B24240C3CB5758F47E5EC067F13EF8C2B24240B942BE66F47E5EC0781E0CA7C3B242406D78B75DF47E5EC02ECE9D44C2B24240BA822E52F47E5EC01A9B8844C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
00000015-db64-fde7-7e67-39c8ac533d49,1450210628,0xE61000000104050000006D78B75DF47E5EC02ECE9D44C2B24240B942BE66F47E5EC0781E0CA7C3B2424081E8176CF47E5EC033B2418DC4B24240ADE18969F47E5EC0012DA044C2B242406D78B75DF47E5EC02ECE9D44C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
00000015-db64-fde7-7e67-39c8ac533d49,1450210629,0xE6100000010405000000ADE18969F47E5EC0012DA044C2B2424081E8176CF47E5EC033B2418DC4B242404B4BF27BF47E5EC09408837AC4B24240AA4B9776F47E5EC06D1E5344C2B24240ADE18969F47E5EC0012DA044C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
00000015-db64-fde7-7e67-39c8ac533d49,1450210630,0xE6100000010405000000AA4B9776F47E5EC06D1E5344C2B242404B4BF27BF47E5EC09408837AC4B24240F774E67DF47E5EC04B314BE2C3B24240530EB49DF47E5EC020664042C2B24240AA4B9776F47E5EC06D1E5344C2B2424001000000020000000001000000FFFFFFFF0000000003,8497a375-2d3a-94e7-7ad4-39d4b9762ab7
