AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
af4006d5-c01c-4d28-8099-530e350d1439,1479453340.843,0.22,0.06,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453341.097,0.27,0.06,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453341.34,0.29,0.13,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453341.592,0.34,0.12,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453341.843,0.34,0.07,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453342.094,0.32,0.05,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453342.344,0.32,0.1,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453342.598,0.29,0.13,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453342.842,0.29,0.21,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453343.092,0.35,0.18,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453343.345,0.31,0.19,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453343.598,0.28,0.15,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453343.848,0.27,0.14,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453344.096,0.28,0.11,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453344.344,0.23,0.15,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453344.593,0.23,0.18,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453344.841,0.18,0.1,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453345.093,0.2,0.1,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453345.343,0.21,0.08,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453345.591,0.19,0.09,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453345.851,0.24,0.02,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453346.099,0.24,0.09,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453346.342,0.22,0.1,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453346.594,0.25,0.13,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453346.85,0.27,0.09,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453347.099,0.24,0.15,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453347.35,0.21,0.13,0,0
af4006d5-c01c-4d28-8099-530e350d1439,1479453347.599,0.21,0.12,0,0
