AnalyzerId,EpochTime,Shape,SurveyId
00000015-db64-fde7-7e67-39c8ac533d50,1484363333,0xE6100000010408000000AADDDC91FD7E5EC03A92ACAAD0B242406788978FFD7E5EC01E5A91AAD0B2424037518D8FFD7E5EC0F75348AAD0B24240AADDDC91FD7E5EC03A92ACAAD0B24240AADDDC91FD7E5EC03A92ACAAD0B24240DC6DC795FD7E5EC06383DBAAD0B24240F0AF9598FD7E5EC0062ED0ABD0B24240AADDDC91FD7E5EC03A92ACAAD0B24240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,c259d729-8dd8-4e59-99c3-18759b422365
00000015-db64-fde7-7e67-39c8ac533d50,1484363334,0xE61000000104050000006788978FFD7E5EC01E5A91AAD0B24240DC6DC795FD7E5EC06383DBAAD0B242403F2E6B90FD7E5EC01C9472AAD0B2424085B5A78FFD7E5EC051FE82AAD0B242406788978FFD7E5EC01E5A91AAD0B2424001000000020000000001000000FFFFFFFF0000000003,c259d729-8dd8-4e59-99c3-18759b422365
00000015-db64-fde7-7e67-39c8ac533d50,1484363335,0xE610000001040500000085B5A78FFD7E5EC051FE82AAD0B242403F2E6B90FD7E5EC01C9472AAD0B24240B7B8BC8FFD7E5EC03366E5A9D0B24240B7B8BC8FFD7E5EC03366E5A9D0B2424085B5A78FFD7E5EC051FE82AAD0B2424001000000020000000001000000FFFFFFFF0000000003,c259d729-8dd8-4e59-99c3-18759b422365
00000015-db64-fde7-7e67-39c8ac533d50,1484363898,0xE6100000010405000000EFF49989FD7E5EC098450FABD0B24240AAE1278FFD7E5EC0066766AFD0B24240A901A389FD7E5EC027853CABD0B24240A901A389FD7E5EC027853CABD0B24240EFF49989FD7E5EC098450FABD0B2424001000000020000000001000000FFFFFFFF0000000003,c259d729-8dd8-4e59-99c3-18759b422365
00000015-db64-fde7-7e67-39c8ac533d50,1484363899,0xE6100000010405000000EFF49989FD7E5EC098450FABD0B24240AAE1278FFD7E5EC0066766AFD0B242403324C791FD7E5EC06DBE0DB1D0B242403CE89089FD7E5EC00706E2AAD0B24240EFF49989FD7E5EC098450FABD0B2424001000000020000000001000000FFFFFFFF0000000003,c259d729-8dd8-4e59-99c3-18759b422365
00000015-db64-fde7-7e67-39c8ac533d50,1484363900,0xE61000000104050000003CE89089FD7E5EC00706E2AAD0B242403324C791FD7E5EC06DBE0DB1D0B242402FA6C391FD7E5EC001A4E2B0D0B24240CFDD8D89FD7E5EC08567B5AAD0B242403CE89089FD7E5EC00706E2AAD0B2424001000000020000000001000000FFFFFFFF0000000003,c259d729-8dd8-4e59-99c3-18759b422365
00000015-db64-fde7-7e67-39c8ac533d50,1484363901,0xE6100000010405000000CFDD8D89FD7E5EC08567B5AAD0B242402FA6C391FD7E5EC001A4E2B0D0B24240BB9AB991FD7E5EC0BA9DD7B0D0B24240CFDD8D89FD7E5EC0811A89AAD0B24240CFDD8D89FD7E5EC08567B5AAD0B2424001000000020000000001000000FFFFFFFF0000000003,c259d729-8dd8-4e59-99c3-18759b422365
00000015-db64-fde7-7e67-39c8ac533d50,1484363927,0xE61000000104050000007261AC88FD7E5EC0590DE3A2D0B24240E41E7089FD7E5EC03BF5E0A2D0B242403A1EB788FD7E5EC0FCEF7AA3D0B242403A1EB788FD7E5EC0FCEF7AA3D0B242407261AC88FD7E5EC0590DE3A2D0B2424001000000020000000001000000FFFFFFFF0000000003,c259d729-8dd8-4e59-99c3-18759b422365
00000015-db64-fde7-7e67-39c8ac533d50,1484363928,0xE61000000104050000007261AC88FD7E5EC0590DE3A2D0B24240E41E7089FD7E5EC03BF5E0A2D0B24240ABA4A188FD7E5EC0610C4AA2D0B24240ABA4A188FD7E5EC0610C4AA2D0B242407261AC88FD7E5EC0590DE3A2D0B2424001000000020000000001000000FFFFFFFF0000000003,c259d729-8dd8-4e59-99c3-18759b422365
00000015-db64-fde7-7e67-39c8ac533d50,1484363929,0xE6100000010405000000FF0D9188FD7E5EC05A9065A2D0B24240DCAD9F91FD7E5EC0CC2781A3D0B24240ABA4A188FD7E5EC0610C4AA2D0B24240ABA4A188FD7E5EC0610C4AA2D0B24240FF0D9188FD7E5EC05A9065A2D0B2424001000000020000000001000000FFFFFFFF0000000003,c259d729-8dd8-4e59-99c3-18759b422365
