SurveyId,Order,Mode,Shape
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,0,0,0xE6100000010404000000B8BF3F2AA07E5EC0EAB8A4B5BBB54240BB3A5F5BA07E5EC09A9E9449BCB54240944C38ECA07E5EC03F0CE0ACB9B54240E49CB3B5A47E5EC06DD1CBA8B4B5424001000000010000000001000000FFFFFFFF0000000002
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,1,0,0xE61000000104160000005E922AAAAB7E5EC0BA3C8E81ADB5424046AF745AAE7E5EC0D04DB30FAEB54240CD55A814B37E5EC02392DE8DB7B54240FF185A6EB47E5EC0066A6AC2B7B542405EB16C5EB57E5EC0BE4F6642B6B54240B86FE54AB57E5EC0ADBA67DCB3B54240DDFD764EB47E5EC0A9B77435B1B5424002B8BEF69E7E5EC0348B958784B54240FB193934957E5EC073181AA66EB5424018D3708F927E5EC09720D88D67B542408E146FB2907E5EC0A6E276505FB5424044B915EE8F7E5EC04F94BF5F5EB54240DF0F441B8F7E5EC05C303CC95EB54240128E770F8F7E5EC062D932D160B542404311125C927E5EC0FAFA35356AB542405909083B997E5EC01DCCD68C7AB542402C2C831DB57E5EC02E60FF74B4B54240122567C0B47E5EC0AF72114FB7B5424024A3A967B07E5EC0ADE4D87ABFB54240D8B472DDA87E5EC0E6CBE0E5C8B542405026DE61A67E5EC03955E28FC9B542403454E9AFA37E5EC061E6AE9EC7B5424001000000010000000001000000FFFFFFFF0000000002
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,2,0,0xE610000001145B82F616947E5EC0E7F55FC26BB54240126126AE927E5EC029A53DF367B54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,3,0,0xE610000001146B081FAE917E5EC0DE831D6E64B542404E4B080C917E5EC066E27E1B61B54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,4,0,0xE61000000114A25FCC3EB07E5EC03222E800C0B542401A1A7F3EB07E5EC002E3E0FFBFB54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,5,0,0xE6100000011473D07840B07E5EC04C2B1108C0B542403CDD0741B07E5EC04D04A906C0B54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,6,2,0xE61000000114E49CB3B5A47E5EC06DD1CBA8B4B54240D8FA53DEA87E5EC00FB2E896AFB54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,7,1,0xE61000000114D8FA53DEA87E5EC00FB2E896AFB542406EA204DFA87E5EC05399E795AFB54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,8,1,0xE61000000114AD8BAD61A57E5EC0304B3CE291B54240B1BC1DE6A07E5EC0213B6E8888B54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,9,1,0xE6100000010404000000F9F0A8F6967E5EC061CD19FC74B542404F9EA9F1B47E5EC0854BBEB8B3B5424054CCE900B57E5EC00521BB6AB6B54240A25FCC3EB07E5EC03222E800C0B5424001000000010000000001000000FFFFFFFF0000000002
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,10,1,0xE61000000114A0A44B3EB07E5EC0594AAFFFBFB5424073D07840B07E5EC04C2B1108C0B54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,11,4,0xE610000001146EA204DFA87E5EC05399E795AFB5424086D7CA1AA97E5EC076E8394DAFB54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,12,4,0xE61000000114B1BC1DE6A07E5EC0213B6E8888B542405B82F616947E5EC0E7F55FC26BB54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,13,6,0xE6100000011486D7CA1AA97E5EC076E8394DAFB542405E922AAAAB7E5EC0BA3C8E81ADB54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,14,6,0xE61000000114126126AE927E5EC029A53DF367B542406B081FAE917E5EC0DE831D6E64B54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,15,6,0xE6100000010403000000A7DC44D3907E5EC019231CAB5FB54240BA2F61AD8F7E5EC033BDAE9D5EB54240D8D1771D8F7E5EC08D5F524D60B5424001000000010000000001000000FFFFFFFF0000000002
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,16,3,0xE61000000104090000003454E9AFA37E5EC061E6AE9EC7B5424027D7005CA07E5EC061AD1088C0B542409982430CA07E5EC014F22619BDB54240905718CCA07E5EC0659FA0C9B9B542404059831FAA7E5EC03A107906AEB542400B3D42E6AE7E5EC0ED3BD5D1ABB54240E3FD47F9AF7E5EC0B9252A95A9B542405ECFBC6FAF7E5EC0FE13F9CEA6B54240AD8BAD61A57E5EC0304B3CE291B5424001000000010000000001000000FFFFFFFF0000000002
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,17,3,0xE610000001144E4B080C917E5EC066E27E1B61B54240A7DC44D3907E5EC019231CAB5FB54240
6A838899-09D5-41F2-9BDD-40FEEAB0B5AC,18,3,0xE6100000010403000000D8D1771D8F7E5EC08D5F524D60B54240318399C7927E5EC097C3D3286BB54240F9F0A8F6967E5EC061CD19FC74B5424001000000010000000001000000FFFFFFFF0000000002
