AnalyzerId,EpochTime,SurveyModeTypeId,Shape,SurveyId
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777578.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010405000000D18880E0FD7E5EC05F63F261D1B242409C2D0717FE7E5EC088E4F946D3B24240E3A7716FFE7E5EC03A6204BFD3B24240E06B6347FE7E5EC04D50DC54D1B24240D18880E0FD7E5EC05F63F261D1B2424001000000020000000001000000FFFFFFFF0000000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777579.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010405000000E06B6347FE7E5EC04D50DC54D1B24240E3A7716FFE7E5EC03A6204BFD3B24240217643A6FE7E5EC08202EFE4D3B24240D41585C0FE7E5EC0B9900554D1B24240E06B6347FE7E5EC04D50DC54D1B2424001000000020000000001000000FFFFFFFF0000000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777580.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010405000000D41585C0FE7E5EC0B9900554D1B24240217643A6FE7E5EC08202EFE4D3B24240BFE5FBF3FE7E5EC0F3F61022D3B242401E209032FF7E5EC0D0A80A57D1B24240D41585C0FE7E5EC0B9900554D1B2424001000000020000000001000000FFFFFFFF0000000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777581.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE61000000104050000001E209032FF7E5EC0D0A80A57D1B24240BFE5FBF3FE7E5EC0F3F61022D3B2424024D53562FF7E5EC0FA4EE517D2B24240E5A35A7EFF7E5EC006499F56D1B242401E209032FF7E5EC0D0A80A57D1B2424001000000020000000001000000FFFFFFFF0000000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777582.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010405000000E5A35A7EFF7E5EC006499F56D1B2424024D53562FF7E5EC0FA4EE517D2B24240A707E496FF7E5EC0FA18419DD1B24240651C9FA0FF7E5EC0305DB154D1B24240E5A35A7EFF7E5EC006499F56D1B2424001000000020000000001000000FFFFFFFF0000000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777583.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010405000000651C9FA0FF7E5EC0305DB154D1B24240A707E496FF7E5EC0FA18419DD1B24240B352948DFF7E5EC0CAE15132D2B24240D778C0A7FF7E5EC0D6833054D1B24240651C9FA0FF7E5EC0305DB154D1B2424001000000020000000001000000FFFFFFFF0000000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777584.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE61000000104080000004C7817A7FF7E5EC0E7C6355AD1B2424048FFAAA7FF7E5EC0480A1B54D1B24240D778C0A7FF7E5EC0D6833054D1B242404C7817A7FF7E5EC0E7C6355AD1B242404C7817A7FF7E5EC0E7C6355AD1B242402DFF296EFF7E5EC01D58D0ACD3B24240B352948DFF7E5EC0CAE15132D2B242404C7817A7FF7E5EC0E7C6355AD1B24240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777585.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010408000000D4049BA7FF7E5EC0C790D754D1B242400FBCB5A7FF7E5EC095571953D1B2424048FFAAA7FF7E5EC0480A1B54D1B24240D4049BA7FF7E5EC0C790D754D1B24240D4049BA7FF7E5EC0C790D754D1B24240D1417662FF7E5EC0047B6541D5B242402DFF296EFF7E5EC01D58D0ACD3B24240D4049BA7FF7E5EC0C790D754D1B24240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777586.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010408000000233876A7FF7E5EC07954EE56D1B242409B926AA7FF7E5EC0CAF7AD52D1B242400FBCB5A7FF7E5EC095571953D1B24240233876A7FF7E5EC07954EE56D1B24240233876A7FF7E5EC07954EE56D1B242404E863EB3FF7E5EC0638B3087D5B24240D1417662FF7E5EC0047B6541D5B24240233876A7FF7E5EC07954EE56D1B24240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777587.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE610000001040800000069BC79A7FF7E5EC0D8652E58D1B24240B6E234A7FF7E5EC0A7BEC151D1B242409B926AA7FF7E5EC0CAF7AD52D1B2424069BC79A7FF7E5EC0D8652E58D1B2424069BC79A7FF7E5EC0D8652E58D1B242403915E3DBFF7E5EC0F85E7460D6B242404E863EB3FF7E5EC0638B3087D5B2424069BC79A7FF7E5EC0D8652E58D1B24240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777588.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE61000000104080000001B92EFA8FF7E5EC0FFEC117CD1B2424098EF09A7FF7E5EC0DC5E5651D1B24240B6E234A7FF7E5EC0A7BEC151D1B242401B92EFA8FF7E5EC0FFEC117CD1B242401B92EFA8FF7E5EC0FFEC117CD1B242403F0712EBFF7E5EC05039A252D7B242403915E3DBFF7E5EC0F85E7460D6B242401B92EFA8FF7E5EC0FFEC117CD1B24240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461777589.732,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE610000001040800000069EF42A7FF7E5EC05D233C56D1B24240D132FFA6FF7E5EC0489F7F50D1B2424098EF09A7FF7E5EC0DC5E5651D1B2424069EF42A7FF7E5EC05D233C56D1B2424069EF42A7FF7E5EC05D233C56D1B2424027C543EFFF7E5EC0C104A888D7B242403F0712EBFF7E5EC05039A252D7B2424069EF42A7FF7E5EC05D233C56D1B24240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,31683DB5-3592-E0AC-3B49-39DA65CE0811
