AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134968.204,-0.13,2.58,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134969.199,-0.46,2.61,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134970.202,-0.77,2.55,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134971.203,-0.37,2.96,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134972.2,-0.7,2.47,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134973.206,-0.69,2.52,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134974.209,-0.62,2.69,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134975.21,-0.47,2.88,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134976.209,-0.5,3.36,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134977.209,-0.2,3.46,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134978.207,-0.62,2.9,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134979.203,-1.11,3.24,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134980.208,-1.35,3.49,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134981.212,-1.09,2.44,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134982.205,-1.68,2.73,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134983.207,-1.91,3.38,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134984.211,-1.23,2.92,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134985.214,-1.18,2.1,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134986.215,-1.75,2.7,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134987.207,-1.8,2.97,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134988.208,-1.41,2.45,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134989.214,-1.81,2.95,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134990.217,-1.65,2.89,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134991.214,-1.39,3.33,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134992.209,-1.13,3.11,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134993.211,-0.85,3.16,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134994.217,-0.82,3.34,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134995.214,-0.46,2.12,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134996.218,-0.89,1.68,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134997.216,-1.61,2.13,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134998.218,-1.65,2.04,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450134999.216,-0.72,1.37,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135000.216,-0.59,2.06,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135001.219,-1,2.14,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135002.219,-1.02,2.06,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135003.222,-1.76,2.69,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135004.215,-1.47,3.29,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135005.219,-0.41,3.63,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135006.221,-0.15,2.83,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135007.217,-0.27,2.79,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135008.218,-0.31,2.68,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135009.224,-1.81,3.22,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135010.22,-1.52,2.79,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135011.221,-1.64,2.6,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135012.218,-1.24,1.68,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135013.228,-0.03,2.55,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135014.219,-0.41,3.48,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135015.223,-0.59,4.09,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135016.227,0.19,4.09,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135017.227,-0.2,4.14,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135018.227,-1.14,4.03,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135019.223,-0.59,5.85,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135020.226,0.55,7.32,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135021.226,-1.17,11.6,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135022.227,-1.34,13.34,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135023.231,-2.1,15.76,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135024.224,-2.63,15.8,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135025.225,-1.92,15.8,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135026.225,0.29,15.11,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135027.227,1.48,15.3,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135028.227,0.4,15.27,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135029.227,-1.17,15.08,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135030.234,-0.39,12.83,0,0
34A34021-8814-8A01-9183-39D4B4DE03BE,1450135031.228,-1.11,9.97,0,0
