AnalyzerId,EpochTime,Shape,SurveyId
00000015-db64-fde7-7e67-39c8ac533d51,1486495190,0xE6100000010408000000A342CB18B47D5EC078A74A4939B7424024C42A18B47D5EC05A1D804A39B7424095F20D18B47D5EC0E6C56A4A39B74240A342CB18B47D5EC078A74A4939B74240A342CB18B47D5EC078A74A4939B74240F26DA021B47D5EC05CBA423839B7424031E8B420B47D5EC0F2C73F3D39B74240A342CB18B47D5EC078A74A4939B74240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495191,0xE610000001040500000024C42A18B47D5EC05A1D804A39B74240F26DA021B47D5EC05CBA423839B742403DE7ED1CB47D5EC0503DF43F39B7424024C42A18B47D5EC0C5824E4A39B7424024C42A18B47D5EC05A1D804A39B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495192,0xE61000000104050000007AFA4A18B47D5EC0CBC80F4B39B7424053F3EF22B47D5EC01258743439B742403DE7ED1CB47D5EC0503DF43F39B7424024C42A18B47D5EC0C5824E4A39B742407AFA4A18B47D5EC0CBC80F4B39B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495193,0xE6100000010405000000D1306B18B47D5EC0EBB5E84A39B74240D70DDB26B47D5EC0B631542D39B7424053F3EF22B47D5EC01258743439B742407AFA4A18B47D5EC0CBC80F4B39B74240D1306B18B47D5EC0EBB5E84A39B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495194,0xE6100000010405000000D1306B18B47D5EC0EBB5E84A39B74240D70DDB26B47D5EC0B631542D39B7424098E42A25B47D5EC054679C3039B74240F4877818B47D5EC05FDF834A39B74240D1306B18B47D5EC0EBB5E84A39B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495195,0xE6100000010405000000014D091AB47D5EC0C3BC1B4839B74240851D1929B47D5EC06121532B39B7424098E42A25B47D5EC054679C3039B74240F4877818B47D5EC05FDF834A39B74240014D091AB47D5EC0C3BC1B4839B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495196,0xE6100000010405000000B226DD20B47D5EC068444A3E39B7424009D1FF31B47D5EC02F7B441E39B74240851D1929B47D5EC06121532B39B74240014D091AB47D5EC0C3BC1B4839B74240B226DD20B47D5EC068444A3E39B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495197,0xE61000000104050000005D826F2EB47D5EC0186EA62739B74240E3815940B47D5EC065DDB60239B7424009D1FF31B47D5EC02F7B441E39B74240B226DD20B47D5EC068444A3E39B742405D826F2EB47D5EC0186EA62739B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495198,0xE6100000010405000000B5B5493EB47D5EC085FD540839B74240B5B5493EB47D5EC085FD540839B74240E3815940B47D5EC065DDB60239B742405D826F2EB47D5EC0186EA62739B74240B5B5493EB47D5EC085FD540839B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495203,0xE61000000104050000009365F34DB47D5EC0C6E5DADB38B74240A72ACF58B47D5EC0169181C538B7424063E0A949B47D5EC05A1C94E938B7424063E0A949B47D5EC05A1C94E938B742409365F34DB47D5EC0C6E5DADB38B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
