AnalyzerId,EpochTime,SurveyModeTypeId,Shape,SurveyId
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781015,0514B92A-39AE-4111-AF16-4495440EC319,0xE6100000010408000000CC2E6F73A87E5EC0F13DA0DE7DB54240631EE0E6A07E5EC067C7996888B54240CF65EE4AA07E5EC06DB0892F87B54240CC2E6F73A87E5EC0F13DA0DE7DB54240CC2E6F73A87E5EC0F13DA0DE7DB5424002049C73AA7E5EC0F7949C137BB54240F35EEFDDAA7E5EC003F7551C7BB54240CC2E6F73A87E5EC0F13DA0DE7DB54240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781015,4901E67A-4C00-4436-ADC0-9CFB277BB310,0xE6100000010408000000CC2E6F73A87E5EC0F13DA0DE7DB54240631EE0E6A07E5EC067C7996888B54240CF65EE4AA07E5EC06DB0892F87B54240CC2E6F73A87E5EC0F13DA0DE7DB54240CC2E6F73A87E5EC0F13DA0DE7DB5424002049C73AA7E5EC0F7949C137BB54240F35EEFDDAA7E5EC003F7551C7BB54240CC2E6F73A87E5EC0F13DA0DE7DB54240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781015,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010408000000CC2E6F73A87E5EC0F13DA0DE7DB54240631EE0E6A07E5EC067C7996888B54240CF65EE4AA07E5EC06DB0892F87B54240CC2E6F73A87E5EC0F13DA0DE7DB54240CC2E6F73A87E5EC0F13DA0DE7DB5424002049C73AA7E5EC0F7949C137BB54240F35EEFDDAA7E5EC003F7551C7BB54240CC2E6F73A87E5EC0F13DA0DE7DB54240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781015,4901E67A-4C00-4436-ADC0-9CFB277BB312,0xE6100000010408000000CC2E6F73A87E5EC0F13DA0DE7DB54240631EE0E6A07E5EC067C7996888B54240CF65EE4AA07E5EC06DB0892F87B54240CC2E6F73A87E5EC0F13DA0DE7DB54240CC2E6F73A87E5EC0F13DA0DE7DB5424002049C73AA7E5EC0F7949C137BB54240F35EEFDDAA7E5EC003F7551C7BB54240CC2E6F73A87E5EC0F13DA0DE7DB54240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781015,E9DD9F53-E5CB-45B3-9517-9DC8E0276C6D,0xE6100000010408000000CC2E6F73A87E5EC0F13DA0DE7DB54240631EE0E6A07E5EC067C7996888B54240CF65EE4AA07E5EC06DB0892F87B54240CC2E6F73A87E5EC0F13DA0DE7DB54240CC2E6F73A87E5EC0F13DA0DE7DB5424002049C73AA7E5EC0F7949C137BB54240F35EEFDDAA7E5EC003F7551C7BB54240CC2E6F73A87E5EC0F13DA0DE7DB54240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781015,B310238A-A5AE-4E94-927B-F0F165E24522,0xE6100000010408000000CC2E6F73A87E5EC0F13DA0DE7DB54240631EE0E6A07E5EC067C7996888B54240CF65EE4AA07E5EC06DB0892F87B54240CC2E6F73A87E5EC0F13DA0DE7DB54240CC2E6F73A87E5EC0F13DA0DE7DB5424002049C73AA7E5EC0F7949C137BB54240F35EEFDDAA7E5EC003F7551C7BB54240CC2E6F73A87E5EC0F13DA0DE7DB54240020000000200000000020400000003000000FFFFFFFF0000000006000000000000000003000000000100000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781016,0514B92A-39AE-4111-AF16-4495440EC319,0xE61000000104050000004BAB638DA17E5EC01F0A6EBD89B54240D1D54E7BA77E5EC0A1EBEB8E7FB5424002049C73AA7E5EC0F7949C137BB54240631EE0E6A07E5EC067C7996888B542404BAB638DA17E5EC01F0A6EBD89B5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781016,4901E67A-4C00-4436-ADC0-9CFB277BB310,0xE61000000104050000004BAB638DA17E5EC01F0A6EBD89B54240D1D54E7BA77E5EC0A1EBEB8E7FB5424002049C73AA7E5EC0F7949C137BB54240631EE0E6A07E5EC067C7996888B542404BAB638DA17E5EC01F0A6EBD89B5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781016,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE61000000104050000004BAB638DA17E5EC01F0A6EBD89B54240D1D54E7BA77E5EC0A1EBEB8E7FB5424002049C73AA7E5EC0F7949C137BB54240631EE0E6A07E5EC067C7996888B542404BAB638DA17E5EC01F0A6EBD89B5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781016,4901E67A-4C00-4436-ADC0-9CFB277BB312,0xE61000000104050000004BAB638DA17E5EC01F0A6EBD89B54240D1D54E7BA77E5EC0A1EBEB8E7FB5424002049C73AA7E5EC0F7949C137BB54240631EE0E6A07E5EC067C7996888B542404BAB638DA17E5EC01F0A6EBD89B5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781016,E9DD9F53-E5CB-45B3-9517-9DC8E0276C6D,0xE61000000104050000004BAB638DA17E5EC01F0A6EBD89B54240D1D54E7BA77E5EC0A1EBEB8E7FB5424002049C73AA7E5EC0F7949C137BB54240631EE0E6A07E5EC067C7996888B542404BAB638DA17E5EC01F0A6EBD89B5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781016,B310238A-A5AE-4E94-927B-F0F165E24522,0xE61000000104050000004BAB638DA17E5EC01F0A6EBD89B54240D1D54E7BA77E5EC0A1EBEB8E7FB5424002049C73AA7E5EC0F7949C137BB54240631EE0E6A07E5EC067C7996888B542404BAB638DA17E5EC01F0A6EBD89B5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781017,0514B92A-39AE-4111-AF16-4495440EC319,0xE6100000010405000000E9F8E438A27E5EC060023B278BB54240E41B022EA57E5EC027C68DB685B54240D1D54E7BA77E5EC0A1EBEB8E7FB542404BAB638DA17E5EC01F0A6EBD89B54240E9F8E438A27E5EC060023B278BB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781017,4901E67A-4C00-4436-ADC0-9CFB277BB310,0xE6100000010405000000E9F8E438A27E5EC060023B278BB54240E41B022EA57E5EC027C68DB685B54240D1D54E7BA77E5EC0A1EBEB8E7FB542404BAB638DA17E5EC01F0A6EBD89B54240E9F8E438A27E5EC060023B278BB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781017,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010405000000E9F8E438A27E5EC060023B278BB54240E41B022EA57E5EC027C68DB685B54240D1D54E7BA77E5EC0A1EBEB8E7FB542404BAB638DA17E5EC01F0A6EBD89B54240E9F8E438A27E5EC060023B278BB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781017,4901E67A-4C00-4436-ADC0-9CFB277BB312,0xE6100000010405000000E9F8E438A27E5EC060023B278BB54240E41B022EA57E5EC027C68DB685B54240D1D54E7BA77E5EC0A1EBEB8E7FB542404BAB638DA17E5EC01F0A6EBD89B54240E9F8E438A27E5EC060023B278BB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781017,E9DD9F53-E5CB-45B3-9517-9DC8E0276C6D,0xE6100000010405000000E9F8E438A27E5EC060023B278BB54240E41B022EA57E5EC027C68DB685B54240D1D54E7BA77E5EC0A1EBEB8E7FB542404BAB638DA17E5EC01F0A6EBD89B54240E9F8E438A27E5EC060023B278BB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781017,B310238A-A5AE-4E94-927B-F0F165E24522,0xE6100000010405000000E9F8E438A27E5EC060023B278BB54240E41B022EA57E5EC027C68DB685B54240D1D54E7BA77E5EC0A1EBEB8E7FB542404BAB638DA17E5EC01F0A6EBD89B54240E9F8E438A27E5EC060023B278BB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781018,0514B92A-39AE-4111-AF16-4495440EC319,0xE6100000010405000000B09B4AEDA27E5EC0C42034AB8CB54240735B2A88A47E5EC0073BCD1B8AB54240E41B022EA57E5EC027C68DB685B54240E9F8E438A27E5EC060023B278BB54240B09B4AEDA27E5EC0C42034AB8CB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781018,4901E67A-4C00-4436-ADC0-9CFB277BB310,0xE6100000010405000000B09B4AEDA27E5EC0C42034AB8CB54240735B2A88A47E5EC0073BCD1B8AB54240E41B022EA57E5EC027C68DB685B54240E9F8E438A27E5EC060023B278BB54240B09B4AEDA27E5EC0C42034AB8CB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781018,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010405000000B09B4AEDA27E5EC0C42034AB8CB54240735B2A88A47E5EC0073BCD1B8AB54240E41B022EA57E5EC027C68DB685B54240E9F8E438A27E5EC060023B278BB54240B09B4AEDA27E5EC0C42034AB8CB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781018,4901E67A-4C00-4436-ADC0-9CFB277BB312,0xE6100000010405000000B09B4AEDA27E5EC0C42034AB8CB54240735B2A88A47E5EC0073BCD1B8AB54240E41B022EA57E5EC027C68DB685B54240E9F8E438A27E5EC060023B278BB54240B09B4AEDA27E5EC0C42034AB8CB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781018,E9DD9F53-E5CB-45B3-9517-9DC8E0276C6D,0xE6100000010405000000B09B4AEDA27E5EC0C42034AB8CB54240735B2A88A47E5EC0073BCD1B8AB54240E41B022EA57E5EC027C68DB685B54240E9F8E438A27E5EC060023B278BB54240B09B4AEDA27E5EC0C42034AB8CB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781018,B310238A-A5AE-4E94-927B-F0F165E24522,0xE6100000010405000000B09B4AEDA27E5EC0C42034AB8CB54240735B2A88A47E5EC0073BCD1B8AB54240E41B022EA57E5EC027C68DB685B54240E9F8E438A27E5EC060023B278BB54240B09B4AEDA27E5EC0C42034AB8CB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781019,0514B92A-39AE-4111-AF16-4495440EC319,0xE6100000010405000000B2FA3CA9A37E5EC093965F408EB54240B89986B8A47E5EC0AC7FA52D8DB54240735B2A88A47E5EC0073BCD1B8AB54240B09B4AEDA27E5EC0C42034AB8CB54240B2FA3CA9A37E5EC093965F408EB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781019,4901E67A-4C00-4436-ADC0-9CFB277BB310,0xE6100000010405000000B2FA3CA9A37E5EC093965F408EB54240B89986B8A47E5EC0AC7FA52D8DB54240735B2A88A47E5EC0073BCD1B8AB54240B09B4AEDA27E5EC0C42034AB8CB54240B2FA3CA9A37E5EC093965F408EB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781019,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE6100000010405000000B2FA3CA9A37E5EC093965F408EB54240B89986B8A47E5EC0AC7FA52D8DB54240735B2A88A47E5EC0073BCD1B8AB54240B09B4AEDA27E5EC0C42034AB8CB54240B2FA3CA9A37E5EC093965F408EB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781019,4901E67A-4C00-4436-ADC0-9CFB277BB312,0xE6100000010405000000B2FA3CA9A37E5EC093965F408EB54240B89986B8A47E5EC0AC7FA52D8DB54240735B2A88A47E5EC0073BCD1B8AB54240B09B4AEDA27E5EC0C42034AB8CB54240B2FA3CA9A37E5EC093965F408EB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781019,E9DD9F53-E5CB-45B3-9517-9DC8E0276C6D,0xE6100000010405000000B2FA3CA9A37E5EC093965F408EB54240B89986B8A47E5EC0AC7FA52D8DB54240735B2A88A47E5EC0073BCD1B8AB54240B09B4AEDA27E5EC0C42034AB8CB54240B2FA3CA9A37E5EC093965F408EB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781019,B310238A-A5AE-4E94-927B-F0F165E24522,0xE6100000010405000000B2FA3CA9A37E5EC093965F408EB54240B89986B8A47E5EC0AC7FA52D8DB54240735B2A88A47E5EC0073BCD1B8AB54240B09B4AEDA27E5EC0C42034AB8CB54240B2FA3CA9A37E5EC093965F408EB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781020,0514B92A-39AE-4111-AF16-4495440EC319,0xE610000001040500000011AC476DA47E5EC0E61027E68FB542402C08EDEEA47E5EC0FEE310B38FB54240B89986B8A47E5EC0AC7FA52D8DB54240B2FA3CA9A37E5EC093965F408EB5424011AC476DA47E5EC0E61027E68FB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781020,4901E67A-4C00-4436-ADC0-9CFB277BB310,0xE610000001040500000011AC476DA47E5EC0E61027E68FB542402C08EDEEA47E5EC0FEE310B38FB54240B89986B8A47E5EC0AC7FA52D8DB54240B2FA3CA9A37E5EC093965F408EB5424011AC476DA47E5EC0E61027E68FB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781020,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE610000001040500000011AC476DA47E5EC0E61027E68FB542402C08EDEEA47E5EC0FEE310B38FB54240B89986B8A47E5EC0AC7FA52D8DB54240B2FA3CA9A37E5EC093965F408EB5424011AC476DA47E5EC0E61027E68FB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781020,4901E67A-4C00-4436-ADC0-9CFB277BB312,0xE610000001040500000011AC476DA47E5EC0E61027E68FB542402C08EDEEA47E5EC0FEE310B38FB54240B89986B8A47E5EC0AC7FA52D8DB54240B2FA3CA9A37E5EC093965F408EB5424011AC476DA47E5EC0E61027E68FB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781020,E9DD9F53-E5CB-45B3-9517-9DC8E0276C6D,0xE610000001040500000011AC476DA47E5EC0E61027E68FB542402C08EDEEA47E5EC0FEE310B38FB54240B89986B8A47E5EC0AC7FA52D8DB54240B2FA3CA9A37E5EC093965F408EB5424011AC476DA47E5EC0E61027E68FB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781020,B310238A-A5AE-4E94-927B-F0F165E24522,0xE610000001040500000011AC476DA47E5EC0E61027E68FB542402C08EDEEA47E5EC0FEE310B38FB54240B89986B8A47E5EC0AC7FA52D8DB54240B2FA3CA9A37E5EC093965F408EB5424011AC476DA47E5EC0E61027E68FB5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781057,0514B92A-39AE-4111-AF16-4495440EC319,0xE61000000104050000009DB3ECE6B57E5EC0F05523A2B5B54240EEB944DCB97E5EC0C89E7742B3B54240EF80A1FDBE7E5EC059923466AFB5424094CACAE5B57E5EC0E53B2109B5B542409DB3ECE6B57E5EC0F05523A2B5B5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781057,4901E67A-4C00-4436-ADC0-9CFB277BB310,0xE61000000104050000009DB3ECE6B57E5EC0F05523A2B5B54240EEB944DCB97E5EC0C89E7742B3B54240EF80A1FDBE7E5EC059923466AFB5424094CACAE5B57E5EC0E53B2109B5B542409DB3ECE6B57E5EC0F05523A2B5B5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461781057,4901E67A-4C00-4436-ADC0-9CFB277BB311,0xE61000000104050000009DB3ECE6B57E5EC0F05523A2B5B54240EEB944DCB97E5EC0C89E7742B3B54240EF80A1FDBE7E5EC059923466AFB5424094CACAE5B57E5EC0E53B2109B5B542409DB3ECE6B57E5EC0F05523A2B5B5424001000000020000000001000000FFFFFFFF0000000003,7D502F69-0921-C3E8-22ED-39D76B1CAB8E
