AnalyzerId,EpochTime,Shape,SurveyId
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498390,0xE61000000104050000005426DE5B137D5EC01C286B7A3AB742403FDEFB32137D5EC0C7BD77D23BB74240FA991955137D5EC03556D7133AB74240FA991955137D5EC03556D7133AB742405426DE5B137D5EC01C286B7A3AB7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498391,0xE61000000104050000005426DE5B137D5EC01C286B7A3AB742403FDEFB32137D5EC0C7BD77D23BB74240F4D49452137D5EC0C93F5FE03BB74240EC0F8862137D5EC0129E5A123BB742405426DE5B137D5EC01C286B7A3AB7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498392,0xE6100000010405000000EC0F8862137D5EC0129E5A123BB74240F4D49452137D5EC0C93F5FE03BB742404D08A155137D5EC01C8D68EE3BB742404D08A155137D5EC01C8D68EE3BB74240EC0F8862137D5EC0129E5A123BB7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498393,0xE61000000104050000002828880F137D5EC05FC4C7163DB74240BA1EAAFA127D5EC0EBAB8E0B3FB742404D08A155137D5EC01C8D68EE3BB742404D08A155137D5EC01C8D68EE3BB742402828880F137D5EC05FC4C7163DB7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498394,0xE610000001040500000060E53A68127D5EC08957515C3EB742405C6F010C127D5EC09B42BE5C47B74240BA1EAAFA127D5EC0EBAB8E0B3FB742402828880F137D5EC05FC4C7163DB7424060E53A68127D5EC08957515C3EB7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498395,0xE610000001040500000049088E73117D5EC062993BBB3FB74240E95B5DD6107D5EC0F36B1AE953B742405C6F010C127D5EC09B42BE5C47B7424060E53A68127D5EC08957515C3EB7424049088E73117D5EC062993BBB3FB7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498396,0xE61000000104050000001071CD4A107D5EC0D642845541B742403913770F107D5EC0469890C454B74240E95B5DD6107D5EC0F36B1AE953B7424049088E73117D5EC062993BBB3FB742401071CD4A107D5EC0D642845541B7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498397,0xE61000000104050000001F7CABFE0E7D5EC080B37D2543B742406A69BFF90E7D5EC0D561695756B742403913770F107D5EC0469890C454B742401071CD4A107D5EC0D642845541B742401F7CABFE0E7D5EC080B37D2543B7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498398,0xE6100000010405000000BDFAFC950D7D5EC07163B42445B742407F44AF260D7D5EC06C5F767357B742406A69BFF90E7D5EC0D561695756B742401F7CABFE0E7D5EC080B37D2543B74240BDFAFC950D7D5EC07163B42445B7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498399,0xE61000000104050000000742680C0C7D5EC04D34AE5A47B74240E242B5410B7D5EC0A46AAF5158B742407F44AF260D7D5EC06C5F767357B74240BDFAFC950D7D5EC07163B42445B742400742680C0C7D5EC04D34AE5A47B7424001000000020000000001000000FFFFFFFF0000000003,A76F83A3-B0A2-47A9-9AED-1B8AB7921BDF
